,image_file,dominant_color
72,Nexus_Image_Iterator/full_sprial_grids_96_.png,"(4, 4, 4)"
73,Nexus_Image_Iterator/grid_sprial_test_10_resized.png,"(4, 4, 4)"
74,Nexus_Image_Iterator/back_forth_grid_45_.png,"(11, 10, 10)"
75,Nexus_Image_Iterator/grid_sprial_test_33_.png,"(13, 12, 12)"
76,Nexus_Image_Iterator/MC_composite_final_6_90.png,"(161, 153, 151)"
77,Nexus_Image_Iterator/full_sprial_grids_66_resized.png,"(14, 14, 13)"
78,Nexus_Image_Iterator/more_compressedfull_sprial_grids_24_resized.png,"(151, 135, 133)"
79,Nexus_Image_Iterator/full_sprial_grids_79_.png,"(155, 137, 132)"
80,Nexus_Image_Iterator/q329042_composite_final_6_90.png,"(115, 101, 103)"
81,Nexus_Image_Iterator/JR Formanek_composite_final_0_90.png,"(141, 141, 132)"
82,Nexus_Image_Iterator/back_forth_grid_32_resized.png,"(152, 139, 138)"
83,Nexus_Image_Iterator/Cindy_composite_final_9_90.png,"(166, 151, 155)"
84,Nexus_Image_Iterator/back_forth_grid_12_.png,"(4, 4, 4)"
85,Nexus_Image_Iterator/John_composite_3.png,"(108, 104, 87)"
86,Nexus_Image_Iterator/moving_picture_grid_23_resized.png,"(151, 135, 131)"
87,Nexus_Image_Iterator/Rondo_composite_1.png,"(120, 80, 35)"
88,Nexus_Image_Iterator/full_sprial_grids_16_resized.png,"(153, 137, 133)"
89,Nexus_Image_Iterator/MC 4_composite_3.png,"(126, 131, 141)"
90,Nexus_Image_Iterator/Spiderplant 2_composite_final_5_90.png676_resized.png,"(176, 148, 148)"
91,Nexus_Image_Iterator/more_compressedfull_sprial_grids_54_resized.png,"(50, 47, 47)"
92,Nexus_Image_Iterator/Kasey Edgerton 2_composite_final_1_90.png,"(79, 83, 89)"
93,Nexus_Image_Iterator/more_compressedfull_sprial_grids_507_1_resized.png,"(4, 4, 4)"
94,Nexus_Image_Iterator/moving_picture_grid_51_.png,"(156, 141, 139)"
95,Nexus_Image_Iterator/Quinn_test_2_composite_4.png,"(104, 113, 111)"
96,Nexus_Image_Iterator/back_forth_grid_42_resized.png,"(12, 12, 12)"
97,Nexus_Image_Iterator/more_compressedcheckers_test_01_resized.png,"(169, 148, 142)"
98,Nexus_Image_Iterator/donya_composite_final_4_90.png,"(137, 155, 178)"
99,Nexus_Image_Iterator/moving_picture_grid_46_resized.png,"(169, 149, 142)"
100,Nexus_Image_Iterator/moving_picture_grid_26_.png,"(155, 138, 134)"
101,Nexus_Image_Iterator/Mika_composite_final_8_90.png,"(101, 103, 115)"
102,Nexus_Image_Iterator/more_compressedfull_sprial_grids_31_resized.png,"(14, 13, 13)"
103,Nexus_Image_Iterator/full_sprial_grids_73_resized.png,"(11, 10, 10)"
104,Nexus_Image_Iterator/Kathy_composite_2.png,"(123, 113, 86)"
105,Nexus_Image_Iterator/more_compressedfull_sprial_grids_507_58_resized.png,"(16, 15, 16)"
106,Nexus_Image_Iterator/full_sprial_grids_59_.png,"(11, 11, 11)"
107,Nexus_Image_Iterator/MC 4_composite_1.png,"(191, 181, 178)"
108,Nexus_Image_Iterator/back_forth_grid_27_resized.png,"(10, 10, 10)"
109,Nexus_Image_Iterator/John_composite_1.png,"(149, 130, 110)"
110,Nexus_Image_Iterator/back_forth_grid_65_.png,"(4, 4, 4)"
111,Nexus_Image_Iterator/grid_sprial_test_13_.png,"(4, 4, 4)"
112,Nexus_Image_Iterator/Rondo_composite_3.png,"(96, 76, 59)"
113,Nexus_Image_Iterator/moving_picture_grid_71_.png,"(136, 124, 124)"
114,Nexus_Image_Iterator/moving_picture_grid_36_resized.png,"(14, 14, 13)"
115,Nexus_Image_Iterator/more_compressedfull_sprial_grids_41_resized.png,"(10, 10, 10)"
116,Nexus_Image_Iterator/MC 4_composite_final_7_90.png,"(153, 147, 152)"
117,Nexus_Image_Iterator/more_compressedfull_sprial_grids_507_28_resized.png,"(11, 10, 10)"
118,Nexus_Image_Iterator/Nataliia 2_composite_final_9_90.png,"(150, 118, 111)"
119,Nexus_Image_Iterator/Baffin_composite_final_1_90.png,"(148, 132, 129)"
120,Nexus_Image_Iterator/more_compressedfull_sprial_grids_1_resized.png,"(4, 4, 4)"
121,Nexus_Image_Iterator/back_forth_grid_57_resized.png,"(153, 137, 133)"
122,Nexus_Image_Iterator/back_forth_grid_32_.png,"(13, 12, 12)"
123,Nexus_Image_Iterator/Spiderplant 2_composite_final_7_90676_resized.png,"(158, 137, 136)"
124,Nexus_Image_Iterator/moving_picture_grid_95_resized.png,"(152, 136, 131)"
125,Nexus_Image_Iterator/moving_picture_grid_67_.png,"(136, 124, 124)"
126,Nexus_Image_Iterator/moving_picture_grid_88_.png,"(155, 139, 134)"
127,Nexus_Image_Iterator/more_compressedfull_sprial_grids_507_76_resized.png,"(151, 135, 133)"
128,Nexus_Image_Iterator/back_forth_grid_9_resized.png,"(4, 4, 4)"
129,Nexus_Image_Iterator/Actias_composite_final_6_90.png,"(166, 139, 130)"
130,Nexus_Image_Iterator/full_sprial_grids_18_.png,"(156, 138, 131)"
131,Nexus_Image_Iterator/Spiderplant_composite_4.png,"(122, 119, 125)"
132,Nexus_Image_Iterator/Nataliia 2_composite_final_5_90.png,"(167, 165, 171)"
133,Nexus_Image_Iterator/moving_picture_grid_68_resized.png,"(137, 124, 124)"
134,Nexus_Image_Iterator/back_forth_grid_24_.png,"(156, 138, 134)"
135,Nexus_Image_Iterator/moving_picture_grid_30_.png,"(12, 11, 11)"
